product_key,product_id,product_number,category_id,product_name,category,subcategory,maintenance_flag,product_line,start_date
1,210,FR-R92B-58,CO_RF,HL Road Frame - Black- 58,Components,Road Frames,true,Road,2003-07-01
2,211,FR-R92R-58,CO_RF,HL Road Frame - Red- 58,Components,Road Frames,true,Road,2003-07-01
3,348,BK-M82B-38,BI_MB,Mountain-100 Black- 38,Bikes,Mountain Bikes,true,Mountain,2011-07-01
4,349,BK-M82B-42,BI_MB,Mountain-100 Black- 42,Bikes,Mountain Bikes,true,Mountain,2011-07-01
5,350,BK-M82B-44,BI_MB,Mountain-100 Black- 44,Bikes,Mountain Bikes,true,Mountain,2011-07-01
6,351,BK-M82B-48,BI_MB,Mountain-100 Black- 48,Bikes,Mountain Bikes,true,Mountain,2011-07-01
7,344,BK-M82S-38,BI_MB,Mountain-100 Silver- 38,Bikes,Mountain Bikes,true,Mountain,2011-07-01
8,345,BK-M82S-42,BI_MB,Mountain-100 Silver- 42,Bikes,Mountain Bikes,true,Mountain,2011-07-01
9,346,BK-M82S-44,BI_MB,Mountain-100 Silver- 44,Bikes,Mountain Bikes,true,Mountain,2011-07-01
10,347,BK-M82S-48,BI_MB,Mountain-100 Silver- 48,Bikes,Mountain Bikes,true,Mountain,2011-07-01
11,338,BK-R50B-44,BI_RB,Road-650 Black- 44,Bikes,Road Bikes,true,Road,2011-07-01
12,340,BK-R50B-48,BI_RB,Road-650 Black- 48,Bikes,Road Bikes,true,Road,2011-07-01
13,342,BK-R50B-52,BI_RB,Road-650 Black- 52,Bikes,Road Bikes,true,Road,2011-07-01
14,332,BK-R50B-58,BI_RB,Road-650 Black- 58,Bikes,Road Bikes,true,Road,2011-07-01
15,334,BK-R50B-60,BI_RB,Road-650 Black- 60,Bikes,Road Bikes,true,Road,2011-07-01
16,336,BK-R50B-62,BI_RB,Road-650 Black- 62,Bikes,Road Bikes,true,Road,2011-07-01
17,326,BK-R50R-44,BI_RB,Road-650 Red- 44,Bikes,Road Bikes,true,Road,2011-07-01
18,328,BK-R50R-48,BI_RB,Road-650 Red- 48,Bikes,Road Bikes,true,Road,2011-07-01
19,330,BK-R50R-52,BI_RB,Road-650 Red- 52,Bikes,Road Bikes,true,Road,2011-07-01
20,320,BK-R50R-58,BI_RB,Road-650 Red- 58,Bikes,Road Bikes,true,Road,2011-07-01
21,322,BK-R50R-60,BI_RB,Road-650 Red- 60,Bikes,Road Bikes,true,Road,2011-07-01
22,324,BK-R50R-62,BI_RB,Road-650 Red- 62,Bikes,Road Bikes,true,Road,2011-07-01
23,317,BK-R68R-44,BI_RB,Road-450 Red- 44,Bikes,Road Bikes,true,Road,2011-07-01
24,318,BK-R68R-48,BI_RB,Road-450 Red- 48,Bikes,Road Bikes,true,Road,2011-07-01
25,319,BK-R68R-52,BI_RB,Road-450 Red- 52,Bikes,Road Bikes,true,Road,2011-07-01
26,315,BK-R68R-58,BI_RB,Road-450 Red- 58,Bikes,Road Bikes,true,Road,2011-07-01
27,316,BK-R68R-60,BI_RB,Road-450 Red- 60,Bikes,Road Bikes,true,Road,2011-07-01
28,311,BK-R93R-44,BI_RB,Road-150 Red- 44,Bikes,Road Bikes,true,Road,2011-07-01
29,312,BK-R93R-48,BI_RB,Road-150 Red- 48,Bikes,Road Bikes,true,Road,2011-07-01
30,313,BK-R93R-52,BI_RB,Road-150 Red- 52,Bikes,Road Bikes,true,Road,2011-07-01
31,314,BK-R93R-56,BI_RB,Road-150 Red- 56,Bikes,Road Bikes,true,Road,2011-07-01
32,310,BK-R93R-62,BI_RB,Road-150 Red- 62,Bikes,Road Bikes,true,Road,2011-07-01
33,223,CA-1098,CL_CA,AWC Logo Cap,Clothing,Caps,false,other sales,2011-07-01
34,304,FR-M94B-38,CO_MF,HL Mountain Frame - Black- 38,Components,Mountain Frames,true,Mountain,2011-07-01
35,296,FR-M94B-42,CO_MF,HL Mountain Frame - Black- 42,Components,Mountain Frames,true,Mountain,2011-07-01
36,299,FR-M94B-44,CO_MF,HL Mountain Frame - Black- 44,Components,Mountain Frames,true,Mountain,2011-07-01
37,301,FR-M94B-46,CO_MF,HL Mountain Frame - Black- 46,Components,Mountain Frames,true,Mountain,2011-07-01
38,300,FR-M94B-48,CO_MF,HL Mountain Frame - Black- 48,Components,Mountain Frames,true,Mountain,2011-07-01
39,307,FR-M94S-38,CO_MF,HL Mountain Frame - Silver- 38,Components,Mountain Frames,true,Mountain,2011-07-01
40,288,FR-M94S-42,CO_MF,HL Mountain Frame - Silver- 42,Components,Mountain Frames,true,Mountain,2011-07-01
41,291,FR-M94S-44,CO_MF,HL Mountain Frame - Silver- 44,Components,Mountain Frames,true,Mountain,2011-07-01
42,293,FR-M94S-46,CO_MF,HL Mountain Frame - Silver- 46,Components,Mountain Frames,true,Mountain,2011-07-01
43,292,FR-M94S-52,CO_MF,HL Mountain Frame - Silver- 48,Components,Mountain Frames,true,Mountain,2011-07-01
44,279,FR-R38B-44,CO_RF,LL Road Frame - Black- 44,Components,Road Frames,true,Road,2011-07-01
45,282,FR-R38B-48,CO_RF,LL Road Frame - Black- 48,Components,Road Frames,true,Road,2011-07-01
46,285,FR-R38B-52,CO_RF,LL Road Frame - Black- 52,Components,Road Frames,true,Road,2011-07-01
47,253,FR-R38B-58,CO_RF,LL Road Frame - Black- 58,Components,Road Frames,true,Road,2011-07-01
48,256,FR-R38B-60,CO_RF,LL Road Frame - Black- 60,Components,Road Frames,true,Road,2011-07-01
49,259,FR-R38B-62,CO_RF,LL Road Frame - Black- 62,Components,Road Frames,true,Road,2011-07-01
50,262,FR-R38R-44,CO_RF,LL Road Frame - Red- 44,Components,Road Frames,true,Road,2011-07-01
51,264,FR-R38R-48,CO_RF,LL Road Frame - Red- 48,Components,Road Frames,true,Road,2011-07-01
52,266,FR-R38R-52,CO_RF,LL Road Frame - Red- 52,Components,Road Frames,true,Road,2011-07-01
53,268,FR-R38R-58,CO_RF,LL Road Frame - Red- 58,Components,Road Frames,true,Road,2011-07-01
54,270,FR-R38R-60,CO_RF,LL Road Frame - Red- 60,Components,Road Frames,true,Road,2011-07-01
55,272,FR-R38R-62,CO_RF,LL Road Frame - Red- 62,Components,Road Frames,true,Road,2011-07-01
56,274,FR-R72R-44,CO_RF,ML Road Frame - Red- 44,Components,Road Frames,true,Road,2011-07-01
57,275,FR-R72R-48,CO_RF,ML Road Frame - Red- 48,Components,Road Frames,true,Road,2011-07-01
58,276,FR-R72R-52,CO_RF,ML Road Frame - Red- 52,Components,Road Frames,true,Road,2011-07-01
59,277,FR-R72R-58,CO_RF,ML Road Frame - Red- 58,Components,Road Frames,true,Road,2011-07-01
60,278,FR-R72R-60,CO_RF,ML Road Frame - Red- 60,Components,Road Frames,true,Road,2011-07-01
61,241,FR-R92R-44,CO_RF,HL Road Frame - Red- 44,Components,Road Frames,true,Road,2011-07-01
62,244,FR-R92R-48,CO_RF,HL Road Frame - Red- 48,Components,Road Frames,true,Road,2011-07-01
63,247,FR-R92R-52,CO_RF,HL Road Frame - Red- 52,Components,Road Frames,true,Road,2011-07-01
