order_number,product_key,customer_key,order_date,ship_date,due_date,sales_amount,quantity,price
SO43697,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,6e97943c3b12f18818073e24a15102db3ebaea4c56fc7124869f0d1f76c1a923,2010-12-29,2011-01-05,2011-01-10,3578,1,3578.0
SO43698,9d598518bf26848464e9adcbe942e21d3ab4058e248caf012ebe30e4202e822e,a85347dd997c291fe67ed1c5b2407a47467fdbb4b78e29e4a699e6c54c633f29,2010-12-29,2011-01-05,2011-01-10,3400,1,3400.0
SO43699,9d598518bf26848464e9adcbe942e21d3ab4058e248caf012ebe30e4202e822e,578e3f3143a1c2f68d1902e2ffb2cdf74ca60a90d707cba0aaf17217e9ece264,2010-12-29,2011-01-05,2011-01-10,3400,1,3400.0
SO43700,5adbe9ea8bcf862f0e607f4cccfcd324d31657b77adfdf84e40bd32e6581b1aa,7cd846cfd988b8af590e1b936cf159ca77dfe98191971e2180654e33b0d9d563,2010-12-29,2011-01-05,2011-01-10,699,1,699.0
SO43701,9d598518bf26848464e9adcbe942e21d3ab4058e248caf012ebe30e4202e822e,4c5438f4cae3ec6414e29bef607d5f46780e79dc474b29cd1f0a886fdf6c572a,2010-12-29,2011-01-05,2011-01-10,3400,1,3400.0
SO43702,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,3cc0db1827ee171c28ec9d4d6c37a8186503930ac8ec531133cbd277e2198c81,2010-12-30,2011-01-06,2011-01-11,3578,1,3578.0
SO43703,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,7067eb77be0e27e876022941b5de8b490cfb08aea807ed621a9381807614ce81,2010-12-30,2011-01-06,2011-01-11,3578,1,3578.0
SO43704,a0e0f5f49edc1481da527ad705a288694031a1624a29cc2fcf3337bcc999bdd2,87518bd9fc387ea079fd5f5175b13a8ce271a2cdec1548995b7bfc3ed18a354c,2010-12-30,2011-01-06,2011-01-11,3375,1,3375.0
SO43705,58866294eb7e5b24529ae6e244268f3d3135f9c178755b384c8452b66e5f7497,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,2010-12-30,2011-01-06,2011-01-11,3400,1,3400.0
SO43706,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,ea11d8afba6b44b0e138240b83d738487b30be12c40ed07f336af2a3326c44ff,2010-12-31,2011-01-07,2011-01-12,3578,1,3578.0
SO43707,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,4ff556e54435c1f3f5d24b9e5dc4be463bc6a58cd0d4666db71525a8430a9261,2010-12-31,2011-01-07,2011-01-12,3578,1,3578.0
SO43708,a72f1956aabd1ea968b5c44cb13eca536426bbcd872c54c27f2efcbedd743167,8d5baa326957041e61222d78ab30f209846b0a6c591c1b3e507559f478c89616,2010-12-31,2011-01-07,2011-01-12,699,1,699.0
SO43709,89bcec2487a32ab42420d51e59928085bcf3fbabd004e8154c15bca553d29b62,53daf61b2079c16f1cc98a8ff79a79d2fe81dbd69639f67bb24cc98825cdf8d5,2010-12-31,2011-01-07,2011-01-12,3578,1,3578.0
SO43710,5f557aeec70cf4324493e431bdc5d61c2bcdaa8595d92def2c11a69f94db3a7e,b93bfbb97112ae045bcf1f95b89b44a9832a2f3e5cabe6adbb544c5d5c6dea7b,2010-12-31,2011-01-07,2011-01-12,3578,1,3578.0
SO43711,5f557aeec70cf4324493e431bdc5d61c2bcdaa8595d92def2c11a69f94db3a7e,b79966ae1ccdeb1221551a7d753c4ef747df94b12bb74eb7eccaa6e15a032669,2011-01-01,2011-01-08,2011-01-13,3578,1,3578.0
SO43712,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,9c563b54c4cf3abbf03a3078a92fa5bac0c890349d4f974a10bb344d758830f0,2011-01-01,2011-01-08,2011-01-13,3578,1,3578.0
SO43713,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,57d1ec857c955b4b5ae8313778fcee23fa638a805ea920e95a70e94d78d84d84,2011-01-02,2011-01-09,2011-01-14,3578,1,3578.0
SO43714,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,14a34ef3c581381e1394018c2cc01cc611ecd177510318f0b9454f08759569a6,2011-01-02,2011-01-09,2011-01-14,3578,1,3578.0
SO43715,5f557aeec70cf4324493e431bdc5d61c2bcdaa8595d92def2c11a69f94db3a7e,8e85c856822d85387dbc48ea117bbfb7c84907ca1c3dda4e255daab89ecbf5be,2011-01-02,2011-01-09,2011-01-14,3578,1,3578.0
SO43716,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,e5cecf90089bc8300d8f450749735caa8d1fe3a5d048b2401fa6f487b7b16dac,2011-01-02,2011-01-09,2011-01-14,3578,1,3578.0
SO43717,5adbe9ea8bcf862f0e607f4cccfcd324d31657b77adfdf84e40bd32e6581b1aa,9a107d1bece894f5036300298a51ebe54ded84c7caded13312838830f4bbd555,2011-01-02,2011-01-09,2011-01-14,699,1,699.0
SO43718,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,0195cedb460b55624b264f458cf50bc6f14ea2aa8ef83926de102bcda0da61a5,2011-01-03,2011-01-10,2011-01-15,3578,1,3578.0
SO43719,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,22ea23995976cf7e00784206466016c1dfe2e5e7b76fd72c07420032ce55a9d3,2011-01-03,2011-01-10,2011-01-15,3578,1,3578.0
SO43720,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,f23453a786108580074a25d612d42c8b9a99f22b5103d49920dbe9eef5dddc57,2011-01-03,2011-01-10,2011-01-15,3578,1,3578.0
SO43721,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,3539e8afcacc57565a56a1a471235686655d90adb6e16c5e093b0767fb835cea,2011-01-03,2011-01-10,2011-01-15,3578,1,3578.0
SO43722,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,fa040d732ff6398c37d8fa5b66b470e6cd30d7fa7652a55e0b31d76bac117d78,2011-01-04,2011-01-11,2011-01-16,3578,1,3578.0
SO43723,61e4e396223e40a98059ae59b139e9c2ea8ec33fcf9651f94adf179dd1b38e7e,c36192f00d848c0d4df363acf037eacd710949692f9d286b1b27a3bcf58f0013,2011-01-04,2011-01-11,2011-01-16,699,1,699.0
SO43724,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,e62fc7f4f92cd9a65e84bfe3c31f6e9bf117b4709067eac106b9715cb5f0fc02,2011-01-04,2011-01-11,2011-01-16,3578,1,3578.0
SO43725,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,7a97bd7c734e623d61a8e2cccc3f0939bfbdf63fcd39683b447937416a82daaf,2011-01-05,2011-01-12,2011-01-17,3578,1,3578.0
SO43726,61e4e396223e40a98059ae59b139e9c2ea8ec33fcf9651f94adf179dd1b38e7e,9568c7995e76c5a8ddd2346d534210b3602040a6d7a1617205ee01d64cd86130,2011-01-05,2011-01-12,2011-01-17,699,1,699.0
SO43727,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,2581d92723b04fe363c5b71795f42b367b7b1e3b9145514a07c9ebf3f02b77f8,2011-01-05,2011-01-12,2011-01-17,3578,1,3578.0
SO43728,89bcec2487a32ab42420d51e59928085bcf3fbabd004e8154c15bca553d29b62,c6fa21d5f2aa5b5448bd41a1d454db5d22545c803ba70a1b75367da34fe9b989,2011-01-06,2011-01-13,2011-01-18,3578,1,3578.0
SO43729,9d598518bf26848464e9adcbe942e21d3ab4058e248caf012ebe30e4202e822e,9250fa378fe370ad3bb71585336505fa26915515f2886b10742dadc0c6b3de2d,2011-01-06,2011-01-13,2011-01-18,3400,1,3400.0
SO43730,9d598518bf26848464e9adcbe942e21d3ab4058e248caf012ebe30e4202e822e,b669a3b7b362feaf6851d631814f1cfc54beb9fea239ca496395b94adb03387e,2011-01-06,2011-01-13,2011-01-18,3400,1,3400.0
SO43731,5f557aeec70cf4324493e431bdc5d61c2bcdaa8595d92def2c11a69f94db3a7e,e6ad334581e37205ba02a101cb7a305cd41b1509a020a5feafa34e9c2a49534a,2011-01-06,2011-01-13,2011-01-18,3578,1,3578.0
SO43732,991b9cab87b39ad98210671f9d39a26fdcb0f64c570d58289329e2f7f318f56b,07bef5b60a4c141efe50eb3b4eb5c907ab468417959a3ec6353cb4280b72e49e,2011-01-06,2011-01-13,2011-01-18,3375,1,3375.0
SO43733,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,01eecef8ae3a485554543c84b6253e94567db91f56ad3fff08a7c81e02ba594d,2011-01-06,2011-01-13,2011-01-18,3578,1,3578.0
SO43734,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,d50611106cc95b5b68085a0405cd9f2352a1c9363173852bd729eda03aef93e2,2011-01-07,2011-01-14,2011-01-19,3578,1,3578.0
SO43735,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,e84d274056ad8eeb5a83e2c06a692b1cce6699737fb5fe54de4be00ee9158879,2011-01-07,2011-01-14,2011-01-19,3578,1,3578.0
SO43736,9d598518bf26848464e9adcbe942e21d3ab4058e248caf012ebe30e4202e822e,d0548e87b05b93767c3501716059e0f0c806aad4c7c2f23dd01ef8d171b568bd,2011-01-07,2011-01-14,2011-01-19,3400,1,3400.0
SO43737,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,8888b1812b1b82a79621217b62689ec7ba589ba21c674d5b8270e2eabe8c2e6b,2011-01-08,2011-01-15,2011-01-20,3578,1,3578.0
SO43738,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,7697b388861aaddea5d7d183f314dafe63696673b3417c42466a3cd63b4118b8,2011-01-08,2011-01-15,2011-01-20,3578,1,3578.0
SO43739,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,a583c3a4287758cc0ddf3ea37eb928e48b34beaf8afb57ed5e6d4f53017ea2f4,2011-01-08,2011-01-15,2011-01-20,3578,1,3578.0
SO43740,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,e34fe8c07fa27ad3f589e865d5db969939564cb984f7dcac488685108a16e2b4,2011-01-08,2011-01-15,2011-01-20,3578,1,3578.0
SO43741,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,709438539f015a86a497af0dc9c9e67f3042409e29b9e597387f82f6e2adace2,2011-01-09,2011-01-16,2011-01-21,3578,1,3578.0
SO43742,5f557aeec70cf4324493e431bdc5d61c2bcdaa8595d92def2c11a69f94db3a7e,0cbfd7dcfba7c08b2893bd2045a407f8ef5b86f9ea6c6e06450bc987259ba84e,2011-01-09,2011-01-16,2011-01-21,3578,1,3578.0
SO43743,606c43aeb3c46989f1bfc499013e82a4ccabff01f51113241013663891680362,106816e5e02931e8359d08d2307f635f7dc11c6d0feebf915a8a5486ef3e25b6,2011-01-09,2011-01-16,2011-01-21,3400,1,3400.0
SO43744,89bcec2487a32ab42420d51e59928085bcf3fbabd004e8154c15bca553d29b62,d015f6f379bbc047a774a3838cd8233f137d584fac12b0fb52ec3336938c9669,2011-01-09,2011-01-16,2011-01-21,3578,1,3578.0
SO43745,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,71bee40f7f97afa9b8cf069df923fa444e07b495f1736e1f9e23863fd894297c,2011-01-10,2011-01-17,2011-01-22,3578,1,3578.0
SO43746,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,af6dbd760f69b1162f6e44c390a1bfa5b2563deb2dd92da9a883e2d6f8caf11c,2011-01-10,2011-01-17,2011-01-22,3578,1,3578.0
SO43747,5f557aeec70cf4324493e431bdc5d61c2bcdaa8595d92def2c11a69f94db3a7e,a02435f03cb973be9ebe379bfaa61c97e23c584e0e96a58df61f9f909cc6a743,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43748,89bcec2487a32ab42420d51e59928085bcf3fbabd004e8154c15bca553d29b62,ae552e24995eae64429cb0884f494c9c037a34ec0183f9fffd5f77ca11b4182d,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43749,5f557aeec70cf4324493e431bdc5d61c2bcdaa8595d92def2c11a69f94db3a7e,2bb5638f2abfa44ea24bc40648b9a27a59f5c8f1d91fdc52e8f6cb910c2ce585,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43750,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,5bc1250104894191a821ea06dc0ca5a4903fea1daa0de83e53d878dbab4428e0,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43751,89bcec2487a32ab42420d51e59928085bcf3fbabd004e8154c15bca553d29b62,07319501616d56d6317ff146fa292f854dd7b8b3c69afc47775c8c5dc247ed5c,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43752,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,ea944082b4a0cbe50ef31f5f3cbe69429f9dd789b4a941fdc275f6f9ebd1fdee,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43753,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,590417dc003b283538d0663b515bbffbde890694fd65ad4698c8e444d0f2edd5,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43754,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,2011-01-12,2011-01-19,2011-01-24,3578,1,3578.0
SO43755,f608bb5a88566bbe7f3caaa6085ecf8dbf688936612e0e332671d17f213ba0b8,45f8fd2c1cb77813187f64cc779caf8b630218d11b9906defac4165738417cc8,2011-01-12,2011-01-19,2011-01-24,3578,1,3578.0
SO43756,61e4e396223e40a98059ae59b139e9c2ea8ec33fcf9651f94adf179dd1b38e7e,c693e89f31dca9e6d95cf7b84474b1b12d5aae8f6f2cd2fcbe22d5fc11a621ce,2011-01-12,2011-01-19,2011-01-24,699,1,699.0
SO43757,991b9cab87b39ad98210671f9d39a26fdcb0f64c570d58289329e2f7f318f56b,a59d9335e170f9e552027eac982f0940b12a01970883d287a1c03be60db17972,2011-01-12,2011-01-19,2011-01-24,3375,1,3375.0
SO43758,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,2014b98628157c5c4209dbd41fcb580f802f590f07b1ea258243a5272c8e1f1e,2011-01-13,2011-01-20,2011-01-25,3578,1,3578.0
SO43759,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,b55b289b37c5a2b90c25515cfc46c08814e8b496b6cfc953c07a2626bdba1506,2011-01-13,2011-01-20,2011-01-25,3578,1,3578.0
SO43760,5f557aeec70cf4324493e431bdc5d61c2bcdaa8595d92def2c11a69f94db3a7e,a812fc6f135f69b2779e79eef174529140c7920d8938db9fde3b016ba746b708,2011-01-13,2011-01-20,2011-01-25,3578,1,3578.0
SO43761,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,62eb10ce1c56053f448601936f5644f0628d1c0df8ac63cedbc04f9403f2037d,2011-01-13,2011-01-20,2011-01-25,3578,1,3578.0
SO43762,5f557aeec70cf4324493e431bdc5d61c2bcdaa8595d92def2c11a69f94db3a7e,35b563040fa2d771f69d74d219964e7549987f1dcabfd6114676011c16269fa7,2011-01-14,2011-01-21,2011-01-26,3578,1,3578.0
SO43763,89bcec2487a32ab42420d51e59928085bcf3fbabd004e8154c15bca553d29b62,c38594bec27d288cfe5bd031cde0cff4c46de188336f74ff3f79854c88c65b00,2011-01-14,2011-01-21,2011-01-26,3578,1,3578.0
SO43764,f3b0dface263adafb4ebea9962173e51e4b096629f8c3032841900c71c7538b7,b29f770cb886346ef05b498f45a0b1370eafd59317ff7a2714893ad7061a2cd9,2011-01-14,2011-01-21,2011-01-26,3578,1,3578.0
SO43765,9d598518bf26848464e9adcbe942e21d3ab4058e248caf012ebe30e4202e822e,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869,2011-01-14,2011-01-21,2011-01-26,3400,1,3400.0
SO43766,89bcec2487a32ab42420d51e59928085bcf3fbabd004e8154c15bca553d29b62,ae2d49509c29defabbc2731895f10922c91957232ec13b5f47607e3c26bfd1b9,2011-01-15,2011-01-22,2011-01-27,3578,1,3578.0
SO43767,991b9cab87b39ad98210671f9d39a26fdcb0f64c570d58289329e2f7f318f56b,72b209306c1a1031b9b3dbec63cf58b0beabbf3e3f0a40c63ef5df093b62dfb8,2011-01-15,2011-01-22,2011-01-27,3375,1,3375.0
SO43768,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,aa72fe274a63c0b4bfd10de96aa01903c92d4131142abb4ad202181a5e1fd8fe,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
SO43769,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,7754b5d8b4228b4db92fd4b2ceeccc32cea2ee06b801bec543027f3052bd3db1,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
SO43770,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,e4a6c22af81e08a439b20c95a355b968358d8819b5912a3a1721b826b09c4651,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
SO43771,a72f1956aabd1ea968b5c44cb13eca536426bbcd872c54c27f2efcbedd743167,4e5a30dc243226ad64300c254054a530539b991f26f67bf3d10b4f19400e8d2c,2011-01-16,2011-01-23,2011-01-28,699,1,699.0
SO43772,3ab575c5ce5de301c69675dce9e41378c762cc868ae808a18b769e18f5e79846,e3d42bda8223315e0bfff6a7b61c4a703f7b3a71c0c7d17b29a4405a6e2bcde0,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
SO43773,5f557aeec70cf4324493e431bdc5d61c2bcdaa8595d92def2c11a69f94db3a7e,a7dbc554113fb5c0115809dd6c4d2dfff352c7d1e09f123721510bd8344bfbe0,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
